QUERY,Fuente1,Fuente2,Fuente3
,boundary.sparql,,988,,126,,81,
,buffer.sparql,,365,,23,,32,
,convexHull.sparql,,53,,23,,31,
,difference.sparql,,223,,131,,137,
,distance.sparql,,29,,15,,111,
,envelope.sparql,,32,,16,,19,
,getSRID.sparql,,14,,19,,19,
,intersection.sparql,,45,,31,,35,
,relate.sparql,,730,,8,,261,
,symDifference.sparql,,57,,34,,38,
,union.sparql,,100,,29,,39,
