QUERY,http://localhost:8080/parliament/sparql,http://localhost:8080/strabon/Query,http://localhost:8080/marmotta/sparql/select
boundary,836,36,32
buffer,285,18,20
convexHull,42,19,18
difference,169,98,88
distance,28,7,36
envelope,31,15,18
getSRID,17,30,47
intersection,40,29,32
relate,664,7,226
symDifference,50,39,44
union,125,33,32
